Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.305111,102.221051",Melaka Tengah,Melaka,Mula: 22 Mac 2017   Tamat: 21 Mac 2019,2025-12-28,2025-12-28 05:03:30
2,"9778-4 TAMAN INDAH, SG UDANG, MELAKA",9778 GABUNGAN EHSAN SDN. BHD.,9778-4/02-2019/0110(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.295329,102.138451",Alor Gajah,Melaka,Mula: 17 Feb 2017   Tamat: 16 Feb 2019,2025-12-28,2025-12-28 05:03:30
3,9778-3 TAMAN INDAH,9778 GABUNGAN EHSAN SDN. BHD.,9778-3/1169/2012(05),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.293320,102.141592",Alor Gajah,Melaka,Mula: 01 Jun 2011   Tamat: 31 Mei 2012,2025-12-28,2025-12-28 05:03:30
4,9778-2 TAMAN INDAH,9778 GABUNGAN EHSAN SDN. BHD.,9778-2/1241/2011(01),Siap Dengan CFO,Berfasa,,Alor Gajah,Melaka,Mula: 01 Jul 2010   Tamat: 30 Jan 2011,2025-12-28,2025-12-28 05:03:30
5,9778-1 TAMAN PAYA RUMPUT INDAH II,9778 GABUNGAN EHSAN SDN. BHD.,9778-1/2132/2007(10),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 12 Okt 2006   Tamat: 11 Okt 2007,2025-12-28,2025-12-28 05:03:30
