Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
9849-8,TAMAN PANDAN JAYA,Rumah Berkembar,1,0,0,114,84,"365,000.00","550,000.00",100.00,Siap Dengan CCC,28/09/2018,-,2025-12-25,2025-12-25 12:14:11
9849-8,TAMAN PANDAN JAYA,Rumah Teres,1,0,0,114,23,"260,000.00","360,000.00",100.00,Siap Dengan CCC,28/09/2018,-,2025-12-25,2025-12-25 12:14:11
9849-8,TAMAN PANDAN JAYA,Rumah Sesebuah,1,0,0,120,1,"510,000.00","510,000.00",100.00,Siap Dengan CCC,28/09/2018,-,2025-12-25,2025-12-25 12:14:11
9849-7,TAMAN BUKIT KATIL INDAH,Rumah Sesebuah,1,0,0,156,5,"458,800.00","517,986.00",100.00,Siap Dengan CCC,10/03/2016,-,2025-12-25,2025-12-25 12:14:11
9849-7,TAMAN BUKIT KATIL INDAH,Rumah Berkembar,1,0,0,156,20,"338,800.00","395,842.00",100.00,Siap Dengan CCC,10/03/2016,-,2025-12-25,2025-12-25 12:14:11
9849-6,TAMAN SAUJANA INDAH,Rumah Kluster,1,0,0,0,16,"347,519.00","430,163.00",100.00,Siap Dengan CCC,28/02/2014,-,2025-12-25,2025-12-25 12:14:11
9849-6,TAMAN SAUJANA INDAH,Rumah Kluster,1,0,0,0,124,"272,434.00","406,007.00",100.00,Siap Dengan CCC,28/02/2014,-,2025-12-25,2025-12-25 12:14:11
9849-6,TAMAN SAUJANA INDAH,Rumah Berkembar,1,0,0,0,18,"321,090.00","425,630.00",100.00,Siap Dengan CCC,28/02/2014,-,2025-12-25,2025-12-25 12:14:11
9849-5,TAMAN SAUJANA INDAH,Rumah Sesebuah,1,0,0,0,1,"684,885.00","684,885.00",100.00,Siap Dengan CCC,10/04/2014,-,2025-12-25,2025-12-25 12:14:11
9849-5,TAMAN SAUJANA INDAH,Rumah Berkembar,1,0,0,0,12,"328,800.00","387,986.00",100.00,Siap Dengan CCC,28/02/2014,-,2025-12-25,2025-12-25 12:14:11
9849-5,TAMAN SAUJANA INDAH,Rumah Teres,1,0,0,0,76,"208,800.00","416,636.00",100.00,Siap Dengan CCC,28/02/2014,-,2025-12-25,2025-12-25 12:14:11
9849-4,TAMAN SAUJANA INDAH,Rumah Berkembar,1.5,0,0,0,2,"273,802.00","354,420.00",2.50,Siap Dengan CFO,31/10/2012,-,2025-12-25,2025-12-25 12:14:11
9849-4,TAMAN SAUJANA INDAH,Rumah Teres,1,0,0,0,71,"177,480.00","317,097.00",2.50,Siap Dengan CFO,30/10/2012,-,2025-12-25,2025-12-25 12:14:11
9849-4,TAMAN SAUJANA INDAH,Rumah Berkembar,1.5,0,0,0,3,"273,802.02","354,420.02",2.50,Siap Dengan CFO,31/10/2012,-,2025-12-25,2025-12-25 12:14:11
9849-4,TAMAN SAUJANA INDAH,Rumah Berkembar,1.5,0,0,0,15,"273,802.01","354,420.01",4.00,Siap Dengan CFO,31/10/2012,-,2025-12-25,2025-12-25 12:14:11
9849-4,TAMAN SAUJANA INDAH,Rumah Teres,1,0,0,0,15,"168,696.00","228,376.00",100.00,Siap Dengan CFO,31/10/2012,-,2025-12-25,2025-12-25 12:14:11
9849-3,TAMAN BUKIT KATIL PERMAI,Rumah Berkembar,1,0,0,0,1,"331,430.00","331,430.00",42.50,Siap Dengan CCC,13/12/2010,-,2025-12-25,2025-12-25 12:14:11
9849-3,TAMAN BUKIT KATIL PERMAI,Rumah Berkembar,1,0,0,0,1,"310,768.00","310,768.00",37.50,Siap Dengan CCC,13/12/2010,-,2025-12-25,2025-12-25 12:14:11
9849-3,TAMAN BUKIT KATIL PERMAI,Rumah Berkembar,1,0,0,0,28,"268,800.00","334,981.00",90.00,Siap Dengan CCC,13/12/2010,-,2025-12-25,2025-12-25 12:14:11
9849-3,TAMAN BUKIT KATIL PERMAI,Rumah Teres,1,0,0,0,22,"168,800.00","216,574.00",2.50,Siap Dengan CCC,13/12/2010,-,2025-12-25,2025-12-25 12:14:11
9849-2,TAMAN MUHIBBAH,Rumah Teres,2,0,0,0,11,"187,926.00","253,307.00",100.00,Siap Dengan CFO,31/12/2008,-,2025-12-25,2025-12-25 12:14:11
9849-2,TAMAN MUHIBBAH,Rumah Teres,1,0,0,0,68,"133,920.00","219,767.00",45.50,Siap Dengan CFO,31/12/2008,-,2025-12-25,2025-12-25 12:14:11
9849-1,TAMAN BUKIT BERUANG BESTARI,Rumah Berkembar,1,0,0,0,24,"188,800.00","260,000.00",27.00,Siap Dengan CFO,12/06/2007,-,2025-12-25,2025-12-25 12:14:11
