Date,Developer,Project,Total_Units,Sold_Units,Unsold_Units,Take_Up_Rate
2025-12-15,SCIENTEX,6575-39 TAMAN SCIENTEX JASIN MUTIARA,204,202,2,99.0
2025-12-15,SCIENTEX,6575-4 TAMAN MUZAFFAR HEIGHTS,226,226,0,100.0
2025-12-15,SCIENTEX,6575-40 SCIENTEX BANDAR JASIN,336,316,20,94.0
2025-12-15,SCIENTEX,6575-41 SCIENTEX BANDAR JASIN,118,113,5,95.8
2025-12-15,SCIENTEX,6575-42 SCIENTEX BANDAR JASIN,188,129,59,68.6
2025-12-15,SCIENTEX,6575-43 TAMAN SCIENTEX JASIN MUTIARA,211,211,0,100.0
2025-12-15,SCIENTEX,6575-44 SCIENTEX BANDAR JASIN,289,284,5,98.3
2025-12-15,SCIENTEX,6575-45 TAMAN SCIENTEX JASIN MUTIARA,281,197,84,70.1
2025-12-15,SCIENTEX,6575-46 BANDAR SCIENTEX JASIN PRESINT 1,159,159,0,100.0
2025-12-15,SCIENTEX,6575-47 BANDAR SCIENTEX JASIN PRESINT 1,170,157,13,92.4
2025-12-15,SCIENTEX,6575-48 BANDAR SCIENTEX JASIN PRESINT 2,234,174,60,74.4
2025-12-15,SCIENTEX,6575-49 BANDAR SCIENTEX JASIN PRESINT 2,333,72,261,21.6
2025-12-15,SCIENTEX,6575-5 THE HEIGHTS RESIDENCE - TAMAN MUZAFFAR HEIGHTS,769,769,0,100.0
2025-12-15,SCIENTEX,6575-50 TAMAN SCIENTEX JASIN MUTIARA,206,202,4,98.1
2025-12-15,SCIENTEX,6575-51 BANDAR SCIENTEX JASIN PRESINT 2,232,219,13,94.4
2025-12-15,SCIENTEX,6575-52 BANDAR SCIENTEX JASIN PRESINT 2,343,4,339,1.2
2025-12-15,SCIENTEX,6575-6 SCIENTEX HEIGHTS SDN BHD,224,224,0,100.0
2025-12-15,SCIENTEX,6575-7 SCIENTEX HEIGHTS SDN BHD,318,318,0,100.0
2025-12-15,SCIENTEX,6575-8 SCIENTEX HEIGHTS SDN BHD,116,116,0,100.0
2025-12-15,SCIENTEX,6575-9 SCIENTEX HEIGHTS SDN BHD,221,221,0,100.0
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-1 TAMAN GADEK INDAH,15,15,0,100.0
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-2 TAMAN SRI TANJUNG DAHAN,11,11,0,100.0
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-3 TAMAN MUHIBBAH,25,25,0,100.0
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-4 TAMAN BANDAR BARU SIMPANG EMPAT,23,23,0,100.0
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-5 TAMAN MUHIBBAH,30,29,1,96.7
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-6 TAMAN TANJONG MINYAK JAYA,91,66,25,72.5
2025-12-21,SERTA LEGA DEVELOPMENT SDN. BHD,19440-7 RESIDENSI BACHANG,140,32,108,22.9
2025-12-20,SHANG HEIGHT,14627-1 SHANG HEIGHT REALTY SDN BHD,78,78,0,100.0
2025-12-20,SHANG HEIGHT,14627-2 SHANG HEIGHT REALTY SDN. BHD.,39,39,0,100.0
2025-12-20,SHANG HEIGHT,14627-3 SHANG HEIGHT REALTY SDN. BHD.,42,42,0,100.0
2025-12-20,SHANG HEIGHT,14627-4 TAMAN BERTAM SETIA,50,50,0,100.0
2025-12-20,SHANG HEIGHT,14627-5 TAMAN BUKIT LINTANG PERMAI,105,105,0,100.0
2025-12-20,SHANG HEIGHT,"14627-6 TAMAN TANJONG MINYAK PERDANA, BERTAM ULU",53,45,8,84.9
2025-12-20,SHANG HEIGHT,14627-7 TAMAN BERTAM SETIA,22,16,6,72.7
2025-12-20,SHANG HEIGHT,14627-8 TAMAN BERTAM SETIA,12,8,4,66.7
2025-12-20,SHANG HEIGHT,19977-1 TAMAN ANGKASA NURI,63,63,0,100.0
2025-12-20,SHANG HEIGHT,19977-2 TAMAN ANGKASA NURI,45,45,0,100.0
2025-12-20,SHANG HEIGHT,19977-3 TAMAN BERTAM SETIA,42,17,25,40.5
2025-12-20,SHANG HEIGHT,30046-1 RESIDENSI BUKIT PIATU MUTIARA,192,176,16,91.7
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-10 TAMAN KRUBONG UTAMA,96,96,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-11 TANJONG MINYAK JAYA,14,14,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-12 TAMAN TANJONG MINYAK JAYA,9,9,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-13 TAMAN SAUJANA INDAH,7,0,7,0.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-14 TAMAN TANJONG MINYAK JAYA,10,10,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-15 TAMAN TANJONG MINYAK JAYA,22,0,22,0.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-2 TAMAN SAUJANA INDAH,337,337,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-3 TAMAN SAUJANA INDAH,337,337,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-4 TAMAN SAUJANA INDAH,337,337,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-6 TAMAN SAUJANA INDAH,337,337,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-8 TAMAN SAUJANA INDAH,337,337,0,100.0
2025-12-21,SINMAH DEVELOPMENT SDN. BHD,6259-9 TAMAN KRUBONG UTAMA,337,337,0,100.0
2025-12-20,SWISS RELIANCE SDN. BHD,30761-1 TAMAN REMBIA INDAH,391,306,85,78.3
2025-12-20,SWISS RELIANCE SDN. BHD,30761-2 TAMAN REMBIA INDAH,271,92,179,33.9
2025-12-20,Teladan,7305-10 TAMAN CHENG SETIA,34,34,0,100.0
