Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
4222,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16709,PT. 16709,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4223,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16710,PT. 16710,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4224,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16712,PT. 16712,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4225,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16713,PT. 16713,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4226,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16716,PT. 16716,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4227,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16717,PT. 16717,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4228,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16719,PT. 16719,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4229,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16720,PT. 16720,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4230,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16721,PT. 16721,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4231,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16724,PT. 16724,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4232,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16725,PT. 16725,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4233,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16728,PT. 16728,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4234,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16729,PT. 16729,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4235,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16730,PT. 16730,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4236,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16733,PT. 16733,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4237,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16734,PT. 16734,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4238,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16735,PT. 16735,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4239,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16736,PT. 16736,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4240,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16737,PT. 16737,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4241,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16738,PT. 16738,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4242,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16739,PT. 16739,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4243,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16741,PT. 16741,"RM 477,860.00","RM 477,860.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4244,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16742,PT. 16742,"RM 418,800.00","RM 418,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4245,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16743,PT. 16743,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4246,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16744,PT. 16744,"RM 486,030.00","RM 486,030.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4247,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16745,PT. 16745,"RM 502,410.00","RM 502,410.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4248,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16748,PT. 16748,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4249,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16749,PT. 16749,"RM 460,690.00","RM 460,690.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4250,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16750,PT. 16750,"RM 462,190.00","RM 462,190.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4251,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16754,PT. 16754,"RM 416,780.00","RM 416,780.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4252,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16755,PT. 16755,"RM 565,790.00","RM 565,790.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4253,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16756,PT. 16756,"RM 476,650.00","RM 476,650.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4254,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16757,PT. 16757,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4255,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16758,PT. 16758,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4256,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16759,PT. 16759,"RM 388,800.00","RM 388,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4257,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16760,PT. 16760,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
