Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
6292,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP153,DP153,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6293,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP154,DP154,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6294,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP155,DP155,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6295,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP156,DP156,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6296,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP157,DP157,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6297,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP158,DP158,"RM 124,400.00","RM 124,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6298,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP159,DP159,"RM 124,400.00","RM 124,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6299,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP16,DP16,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6300,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP160,DP160,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6301,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP161,DP161,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6302,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP162,DP162,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6303,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP163,DP163,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6304,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP164,DP164,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6305,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP165,DP165,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6306,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP167,DP167,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6307,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP168,DP168,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6308,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP169,DP169,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6309,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP17,DP17,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6310,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP170,DP170,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6311,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP171,DP171,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
