Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.230348,102.242585",-,Melaka,Mula: 30 Jun 2025   Tamat: 29 Jun 2028,2025-12-28,2025-12-28 05:03:30
2,19440-6 TAMAN TANJONG MINYAK JAYA,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-6/01-2026/0054(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.263168,102.195392",Melaka Tengah,Melaka,Mula: 16 Jan 2024   Tamat: 15 Jan 2026,2025-12-28,2025-12-28 05:03:30
3,19440-5 TAMAN MUHIBBAH,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-5/09-2024/0199(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.225233,102.193655",Melaka Tengah,Melaka,Mula: 28 Sep 2022   Tamat: 27 Sep 2024,2025-12-28,2025-12-28 05:03:30
4,19440-4 TAMAN BANDAR BARU SIMPANG EMPAT,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-4/02-2023/0141(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.441750,102.187306",Alor Gajah,Melaka,Mula: 24 Feb 2021   Tamat: 23 Feb 2023,2025-12-28,2025-12-28 05:03:30
5,19440-3 TAMAN MUHIBBAH,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-3/07-2021/0646(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.224395,102.192703",Melaka Tengah,Melaka,Mula: 23 Jul 2019   Tamat: 22 Jul 2021,2025-12-28,2025-12-28 05:03:30
6,19440-2 TAMAN SRI TANJUNG DAHAN,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-2/10-2020/0905(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.224714,102.192721",Alor Gajah,Melaka,Mula: 17 Okt 2018   Tamat: 16 Okt 2020,2025-12-28,2025-12-28 05:03:30
7,19440-1 TAMAN GADEK INDAH,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-1/06-2020/0561(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.408946,102.240124",Alor Gajah,Melaka,Mula: 27 Jun 2018   Tamat: 26 Jun 2020,2025-12-28,2025-12-28 05:03:30
