Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
195,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37823,PT 5646,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
196,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37824,PT 5647,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
197,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37825,PT 5648,"RM 409,800.00","RM 405,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
198,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37826,PT 5649,"RM 409,800.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
199,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37827,PT 5650,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
200,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37828,PT 5651,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
201,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37829,PT 5652,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
202,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37830,PT 5653,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
203,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37831,PT 5654,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
204,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37832,PT 5655,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
205,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37834,PT 5657,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
206,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37835,PT 5658,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
