Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
30761-2,TAMAN REMBIA INDAH,Rumah Teres,1,3,2,111 - 116,184,"359,000.00","498,200.00",14.62,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-2,TAMAN REMBIA INDAH,Rumah Teres,1,3,2,111 - 116,48,"359,000.00","494,000.00",41.67,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-2,TAMAN REMBIA INDAH,Rumah Teres,1,3,2,119 - 127,39,"389,000.00","518,100.00",18.33,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-1,TAMAN REMBIA INDAH,Rumah Teres,1,"3, 4","2, 3",9 - 95,183,"180,000.00","342,100.00",68.03,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-1,TAMAN REMBIA INDAH,Rumah Teres,1,3,2,92 - 95,14,"180,000.00","297,200.00",45.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-1,TAMAN REMBIA INDAH,Rumah Teres,1,"3, 4","2, 3",101 - 106,80,"250,000.00","394,100.00",53.69,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-1,TAMAN REMBIA INDAH,Rumah Teres,1,"3, 4","2, 3",92 - 95,38,"180,000.00","298,100.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30761-1,TAMAN REMBIA INDAH,Rumah Teres,1,"3, 4","2, 3",101 - 106,76,"250,000.00","377,600.00",55.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
