Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90524,PT9920,"RM 692,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
2,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90525,PT9921,"RM 542,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
3,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90526,PT9922,"RM 544,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
4,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90527,PT9923,"RM 545,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
5,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90528,PT9924,"RM 547,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
6,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90529,PT9925,"RM 548,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
7,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90530,PT9926,"RM 550,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
8,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90531,PT9927,"RM 551,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
9,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90532,PT9928,"RM 552,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
10,30895-1 TAMAN CHENG SETIA,30895 KK FRONTIERS DEVELOPMENT SDN. BHD.,30895-1/10-2027/0836(N)-(L),HS(D)90533,PT9929,"RM 553,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
