Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
428,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 032,"RM 263,025.00","RM 263,020.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
429,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 033,"RM 263,025.00","RM 263,020.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
430,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 034,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
431,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91273,PT6216,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
432,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 036,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
433,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 037,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
434,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 038,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
435,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 039,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
436,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 040,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
437,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 41,"RM 263,025.00","RM 250,500.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
438,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 42,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
439,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 043,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
440,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91282,PT6225,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
441,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 45,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
442,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 046,"RM 362,880.00","RM 362,880.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
443,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 047,"RM 355,860.00","RM 355,860.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
444,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 48,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
445,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 049,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
446,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91288,PT6231,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
447,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 051,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
448,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 052,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
449,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 053,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
450,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 054,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
451,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 55,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
452,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91294,LOT PT6237 /RT 056,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
453,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91295,PT6238,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
454,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 058,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
455,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 059,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
456,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91298,PT6241,"RM 263,025.00","RM 263,020.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
457,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 061,"RM 263,025.00","RM 263,020.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
458,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 62,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
459,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 063,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
460,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 064,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
461,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 065,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
462,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 066,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
463,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 067,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
464,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 068,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
465,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 69,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
466,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 070,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
467,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 71,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
468,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91310,PT6253,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
469,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 91311,LOT PT6254 /RT 073,"RM 250,000.00","RM 250,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
470,30348-3 TAMAN PENGKALAN IMPIAN,30348 ANJURAN LAGENDA SDN. BHD.,30348-3/02-2026/0199(A)-(L),HSD 87421 & HSD 87422,LOT PT4846 & LOT PT4847 /RT 074,"RM 250,000.00","RM 250,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
