Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
20,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
21,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
22,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
23,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-005,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
24,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-006,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
25,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-007,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
26,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-008,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
27,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-009,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
28,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
29,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-011,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
30,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-012,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
31,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-013,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
32,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-014,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
33,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-015,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
34,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-016,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
35,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-017,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
36,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-018,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
37,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-019,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
38,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-020,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
39,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-001,"RM 72,800.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
40,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
41,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
42,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
43,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-005,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
44,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-006,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
45,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-007,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
46,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-008,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
47,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-009,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
48,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
49,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-011,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
50,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-012,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
51,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-013,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
52,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-014,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
53,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-015,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
54,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-016,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
55,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-017,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
56,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-018,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
57,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-019,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
58,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 3-020,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
59,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-001,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
60,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
61,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
62,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
63,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-005,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
64,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-006,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
65,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-007,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
66,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-008,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
67,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-009,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
68,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
69,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-011,"RM 72,800.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
70,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-012,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
71,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-013,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
72,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-014,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
73,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-015,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
74,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 4-016,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
